name,temp,humidity,clouds,wind,lat,lon,id
Rocha,7.37,72,17,4.01,-34.48,-54.34,251
Cidreira,13.87,57,76,1.55,-30.17,-50.22,252
Dunedin,12.22,58,33,0.89,-45.87,170.5,253
Isangel,27,78,75,5.1,-19.55,169.27,254
Maningrida,14.27,91,100,2.51,-12.05,134.23,255
Wencheng,21.07,98,100,0.74,27.79,120.09,256
Sao Filipe,26.67,81,100,1.96,14.9,-24.5,257
Grand Gaube,19.3,82,20,6.95,-20.01,57.66,258
Tema,24,88,75,2.6,5.66,-0.01,259
Upernavik,6.07,77,0,2.63,72.79,-56.15,260
Orlik,18.92,93,75,5.7,53.95,17.74,261
Bathsheba,28,78,40,5.7,13.22,-59.52,262
Baijiantan,20.57,36,76,16.17,45.63,85.18,263
Macamic,19,52,90,5.1,48.75,-79,264
Segezha,14.07,92,0,2.19,63.74,34.31,265
Arlit,37.27,14,67,1.06,18.74,7.39,266
Viedma,9.77,34,0,3.89,-40.81,-62.99,267
Doka,23.87,85,99,2.65,13.52,35.76,268
Havelock,24.78,78,90,5.1,34.88,-76.9,269
Linxia,9.47,75,0,1.44,35.6,103.21,270
Leningradskiy,2.37,96,100,10,69.38,178.42,271
Toropets,13.87,91,0,1.68,56.5,31.64,272
Alyangula,16,93,95,1,-13.85,136.42,273
Pacora,27.94,83,40,2.6,9.1,-79.29,274
Jalu,28.37,29,0,2.58,29.03,21.55,275
Clyde River,8,65,1,5.7,70.47,-68.59,276
Bereda,16.02,72,75,6.7,43.27,-7.54,277
Warwick,20.59,60,75,4.1,41.7,-71.42,278
Fulton,23.63,73,90,2.1,38.85,-91.95,279
Mount Darwin,17.17,71,33,2.43,-16.77,31.58,280
Miles City,29.81,37,1,8.7,46.41,-105.84,281
Santa Maria,25.41,32,0,2.1,-16.02,-48.01,282
Boksitogorsk,13.77,86,0,0.31,59.47,33.85,283
Merke,15.77,39,0,3.15,42.87,73.19,284
Aketi,21.37,94,87,0.62,2.74,23.78,285
Robore,24,57,40,3.1,-18.33,-59.76,286
Besuki,16.67,81,87,1.31,-7.73,113.69,287
Conceicao do Rio Verde,23.37,48,41,2.74,-21.88,-45.09,288
Cockburn Town,31,66,40,4.1,21.46,-71.14,289
Emet,17.77,82,0,0.87,39.34,29.26,290
Toyokawa,24.77,83,75,2.6,34.83,137.38,291
Kristinehamn,13.16,87,89,4.1,59.31,14.11,292
Sibu,23.93,94,75,1.05,2.29,111.83,293
Imbituba,16,82,75,5.7,-28.24,-48.67,294
Leh,8.07,52,0,1.95,34.16,77.58,295
Barahona,30,74,75,6.2,18.21,-71.1,296
Mari-Turek,8.97,81,87,2.73,56.79,49.62,297
Khorixas,12.27,48,19,0.89,-20.37,14.96,298
Tuatapere,11.67,81,94,0.89,-46.13,167.69,299
Semey,8.97,67,0,1.69,50.41,80.25,300
Bristol,11.19,76,0,4.1,51.45,-2.6,301
Cedar Mill,27.41,36,40,2.1,45.52,-122.81,302
Roald,8.75,81,75,6.2,62.58,6.12,303
Shenkursk,11.27,95,100,1.12,62.11,42.91,304
Omboue,23.77,86,15,5.96,-1.57,9.26,305
Dongsheng,20.27,86,76,2.24,29.72,112.52,306
Kuytun,11.97,96,37,1.89,54.34,101.51,307
Yar-Sale,8.37,87,2,7.14,66.83,70.83,308
Manaure,31,74,40,4.1,11.78,-72.45,309
Colac,7.79,98,66,0.92,-38.34,143.59,310
Pechenga,14.17,97,99,1.39,58.89,41.46,311
Nuuk,7,93,100,17.5,64.17,-51.74,312
Avera,29.77,51,1,5.1,33.19,-82.53,313
Faya,22.05,73,0,0.63,18.39,42.45,314
San Cristobal,30.37,43,66,2.87,14.68,-86.92,315
Ponta Delgada,20.85,68,40,4.1,37.73,-25.67,316
Hirara,26,94,40,2.6,24.8,125.28,317
Geraldton,14,100,90,3.1,49.72,-86.95,318
Xiashi,22.07,84,97,2.23,22.12,106.89,319
Storm Lake,23.78,88,75,3.6,42.64,-95.21,320
Tual,24.57,80,0,9.61,-5.67,132.75,321
Anadyr,10.28,81,40,5,64.73,177.51,322
Miram Shah,25.97,59,5,2.59,33.01,70.07,323
Trincomalee,26.37,67,100,4.41,8.58,81.23,324
Zhanaozen,16.87,35,0,4.35,43.35,52.85,325
Watsa,18.47,97,0,0.41,3.04,29.53,326
Biryusinsk,9.97,96,41,0.76,55.96,97.82,327
Brae,9.13,87,100,3.6,60.4,-1.35,328
Pekalongan,21.57,80,75,2.95,-6.89,109.67,329
Salinopolis,26.97,82,92,8.26,-0.61,-47.36,330
Olinda,9.93,87,75,2.6,-37.84,145.39,331
Totness,26.5,88,40,3.85,33.74,-80.8,332
Cardiff,11.62,76,75,2.1,51.48,-3.18,333
Paamiut,6.57,89,100,16.3,61.99,-49.67,334
Comodoro Rivadavia,4,64,40,6.2,-45.87,-67.48,335
Assiniboia,19.87,47,99,3.58,49.63,-105.99,336
Sibolga,27.37,80,96,5.23,1.74,98.78,337
Namatanai,25.27,87,100,6.25,-3.66,152.44,338
Prado,39.47,19,65,5.68,3.75,-74.93,339
Rockland,22.19,46,75,2.6,45.55,-75.29,340
Chapais,18,45,75,8.7,49.78,-74.86,341
Tilichiki,8.57,63,0,3.32,60.47,166.1,342
Sidney,33.87,30,1,4.1,41.14,-102.98,343
Port Hardy,17,88,40,1.5,50.7,-127.42,344
Kenai,18.75,52,90,4.6,60.55,-151.26,345
Vila Franca do Campo,20.81,68,40,4.1,37.72,-25.43,346
Kozhva,8.77,81,95,3.46,65.11,57.05,347
Puerto Guzman,30.51,55,47,3.1,-14.32,-67.54,348
Buraydah,34,20,0,3.1,26.33,43.97,349
Banda Aceh,27.57,78,54,4.88,5.56,95.32,350
Klungkung,23,94,20,0.5,-8.53,115.4,351
Khilok,12.27,77,100,1.22,51.36,110.46,352
Rizhao,18.07,89,100,1.41,35.43,119.46,353
Ribeira Grande,22.77,80,32,3.14,38.52,-28.7,354
Ostrovnoy,12.67,91,78,4.63,68.05,39.51,355
Santa Isabel do Rio Negro,28.57,73,100,1.3,-0.41,-65.02,356
Longyearbyen,5,93,75,2.1,78.22,15.63,357
Nouakchott,29,74,20,4.6,18.08,-15.98,358
Hulan Ergi,12.47,90,12,1.48,47.2,123.63,359
Ishinomaki,21,94,75,1.5,38.42,141.3,360
Port Blair,27.67,82,100,10.32,11.67,92.75,361
Haines Junction,12.67,55,100,3.77,60.75,-137.51,362
Beloha,18.67,82,0,2.12,-25.17,45.06,363
Zapolyarnyy,14,87,0,9.3,69.43,30.82,364
Quatre Cocos,19.43,82,20,4.17,-20.21,57.76,365
Inskoy,9.47,71,72,2.08,54.43,86.44,366
Rosarito,30.97,58,40,2.6,4.91,-75.23,367
Jardim,20.57,63,63,3.95,-21.48,-56.15,368
Troitskoye,9.27,72,0,1.39,52.98,84.68,369
Sackville,19.29,55,20,4.1,45.9,-64.37,370
Maputo,16,87,0,1.5,-25.97,32.57,371
Rockford,21.49,73,75,1.24,42.27,-89.09,372
Bonavista,13.33,81,15,0.89,48.65,-53.11,373
Morlaix,12.17,87,0,1.5,48.58,-3.83,374
Nikel,14,87,0,9.3,69.41,30.21,375
Tha Rua,26.09,92,100,2.45,14.56,100.72,376
Ondjiva,19.77,15,0,3.24,-17.07,15.73,377
Goianesia,31.57,22,100,1.55,-15.32,-49.12,378
Hit,29.77,22,0,2.11,33.64,42.83,379
Kudahuvadhoo,28.27,78,85,4.96,2.67,72.89,380
Imeni Poliny Osipenko,10.47,96,100,1.14,52.42,136.49,381
Cotonou,25,94,20,4.6,6.37,2.43,382
Angoche,22.07,90,4,1.64,-16.23,39.91,383
Jadu,23.87,73,12,1.1,31.95,12.03,384
Kresttsy,14.27,80,0,1.24,58.25,32.52,385
Santa Cruz Cabralia,24,73,0,2.6,-16.28,-39.02,386
Touros,26,83,40,4.1,-5.2,-35.46,387
Okhotsk,11.17,86,100,1.55,59.36,143.24,388
Half Moon Bay,25.64,88,1,6.2,37.46,-122.43,389
Rio Grande City,36.48,29,40,6.7,26.38,-98.82,390
Atar,30.57,52,48,8.49,20.52,-13.05,391
Zarubino,13.27,89,0,1.7,42.65,131.06,392
Fayetteville,29.1,78,40,2.6,36.06,-94.16,393
Goundam,36.37,25,31,4.68,16.42,-3.66,394
Saint-Francois,16.69,82,0,2.1,46.42,3.91,395
Marsh Harbour,27.27,89,100,37.62,26.54,-77.06,396
Margate,8.5,70,20,3.6,-43.03,147.26,397
Petropavlovsk-Kamchatskiy,10,100,75,1,53.05,158.65,398
Luderitz,21,26,6,4.6,-26.65,15.16,399
Karratha,21.07,43,0,7.49,-20.74,116.85,400
Kahului,28.51,59,40,10.8,20.89,-156.47,401
Kapit,22.57,99,100,0.07,2.02,112.94,402
Klimovo,15.57,88,0,1.51,52.38,32.2,403
High Prairie,18.77,61,67,3.81,55.43,-116.48,404
Kaitangata,11.11,60,84,1.34,-46.28,169.85,405
Andros Town,26,83,90,6.7,24.73,-77.79,406
Los Llanos de Aridane,20.19,69,20,7.7,28.66,-17.92,407
Aioi,22.85,100,75,1,34.81,134.47,408
Carballo,17.51,72,75,6.7,43.21,-8.69,409
Ucluelet,18.67,93,90,4.1,48.94,-125.55,410
Hazaribag,24.57,87,92,1.35,23.98,85.35,411
Mae Sai,24,100,75,1,20.44,99.89,412
Matagami,20.67,96,100,2.5,9.67,8.4,413
Alofi,24,60,98,8.2,-19.06,-169.92,414
Moryakovskiy Zaton,10.27,87,40,3,56.7,84.65,415
Laguna,33,59,40,3.1,16.17,-88.94,416
Goderich,18.97,77,60,2.24,43.74,-81.71,417
Mezen,9.67,88,37,2.41,65.85,44.24,418
Port Macquarie,14.69,81,0,2.6,-31.43,152.91,419
Petropavlovka,12.27,96,100,3.02,50.61,105.32,420
Iqaluit,5.75,87,90,8.7,63.75,-68.52,421
Tonota,13.67,74,0,4.41,-21.44,27.46,422
Monrovia,24,94,75,4.04,6.33,-10.8,423
Batagay-Alyta,3.37,86,100,1.14,67.8,130.41,424
Ola,10.47,92,58,1.74,59.58,151.3,425
Tessalit,36.47,19,39,2.98,20.2,1.01,426
San Severino Marche,21.79,83,0,1.5,43.23,13.18,427
Kitimat,23,49,75,3.1,54.02,-128.69,428
Merano,15.83,93,75,1,46.67,11.16,429
Plettenberg Bay,13.37,85,87,3.03,-34.05,23.37,430
Bongandanga,22.67,89,27,0.72,1.51,21.07,431
Hami,26.77,20,0,3.92,42.84,93.51,432
Kurchum,16.67,58,99,5.1,48.57,83.65,433
Kamenka,16.11,83,15,1.11,48.03,28.7,434
Belozerskoye,4.77,93,100,2.67,55.82,65.58,435
Honggang,18.87,97,100,0.79,29.51,114.87,436
Waasmunster,12.49,87,90,2.1,51.11,4.08,437
Sarangani,27.27,76,11,0.55,5.4,125.46,438
Mizdah,23.87,59,63,2.24,31.45,12.98,439
Virarajendrapet,24,100,90,1,12.2,75.8,440
Songjianghe,11.37,97,0,1.81,42.18,127.48,441
Beyneu,15.87,33,0,2.25,45.32,55.19,442
Lyubim,14.37,96,89,1.37,58.36,40.69,443
Ambunti,22.87,98,74,0.48,-4.22,142.82,444
Dalby,6,81,0,2.14,-27.18,151.26,445
Danielskuil,4.47,59,0,0.59,-28.19,23.54,446
Fenoarivo,12,100,20,2.6,-18.93,47.44,447
Gwembe,22.57,33,69,2.43,-16.5,27.61,448
Aguilas,22.19,75,21,1.02,37.41,-1.58,449
Bangassou,21.07,96,87,0.7,4.74,22.82,450
Kyshtovka,5.57,95,63,3.83,56.56,76.62,451
Krasnozerskoye,7.37,62,3,3.37,53.98,79.24,452
Kargasok,6.87,95,100,2.79,59.06,80.87,453
Cervo,20.37,75,99,3.19,-22.19,-46.24,454
Burns Lake,20.97,37,64,2.2,54.23,-125.76,455
Hibbing,17.72,82,90,2.6,47.43,-92.94,456
Awbari,29.67,33,67,8.14,26.59,12.77,457
Urucara,32.37,45,100,1.45,-2.54,-57.76,458
Aguie,28.67,47,100,2.15,13.51,7.78,459
Shingu,19.67,97,30,1.15,33.72,135.99,460
Effingham,27.54,65,75,3.6,39.12,-88.54,461
Sioux Lookout,18,72,75,3.6,50.1,-91.92,462
Manicore,35.07,36,61,1.12,-5.81,-61.3,463
Buckeye,40.71,26,20,3.6,33.37,-112.58,464
La Ronge,14,58,40,3.1,55.1,-105.3,465
Palu,23.97,83,85,0.69,-0.9,119.87,466
Menongue,17.87,17,0,2.89,-14.66,17.68,467
Aransas Pass,33.17,59,1,5.1,27.91,-97.15,468
Tommot,7.27,86,100,0.84,58.97,126.27,469
Flinders,14.07,66,0,2.1,-34.58,150.85,470
Kutum,24.57,56,50,3.43,14.2,24.66,471
Yangshan,6.67,97,100,1.06,31.68,103.77,472
Mozarlandia,34.87,17,100,1.39,-14.74,-50.57,473
Sarai,29,89,40,1.5,25.78,85.28,474
Mayo,19,34,75,1,63.59,-135.9,475
Puerto El Triunfo,31.98,63,40,3.6,13.27,-88.55,476
Luhyny,17.97,74,43,1.4,51.08,28.4,477
Plover,23.2,56,90,2.1,44.46,-89.54,478
Hofn,0.47,81,86,6.72,64.25,-15.21,479
Deputatskiy,5.47,74,99,1.48,69.3,139.9,480
Pacific Grove,30.53,53,1,6.2,36.62,-121.92,481
Abrau-Dyurso,18.91,63,0,4,44.7,37.6,482
Coruripe,21.37,95,1,2.9,-10.12,-36.18,483
General Roca,15,21,0,2.6,-39.03,-67.58,484
Ayan,13.67,65,64,1.24,38.23,44.7,485
Ahipara,13.33,100,99,5.99,-35.17,173.16,486
Srednekolymsk,5.87,53,45,3.08,67.46,153.71,487
Payakumbuh,18.97,92,0,0.75,-0.23,100.63,488
Elat,19.87,98,98,1.49,2.91,11.16,489
Basoko,22.17,89,67,0.99,1.23,23.61,490
Iskateley,5.47,91,38,1.86,67.68,53.15,491
Kasempa,20.67,36,16,1.99,-13.46,25.83,492
Marion,28.83,54,1,4.1,37.73,-88.93,493
George,21.87,41,0,2.7,-15.35,34.83,494
Honjo,20,94,75,1.5,39.38,140.05,495
Ingham,14.77,93,7,0.79,-18.65,146.16,496
Kulhudhuffushi,27.77,80,100,5.6,6.62,73.07,497
Cabedelo,24,94,20,3.1,-6.97,-34.84,498
Talnakh,5,100,20,5,69.49,88.39,499
Portland,17.69,63,40,4.1,43.66,-70.25,500
